,Company ID,Description,Company Name,HQ Post Code,Primary Industry Code,Primary Contact,Year Founded,Active Investors,HQ Location,Growth Rate,Size Multiple,Last Financing Date,Last Financing Size,Last Financing Valuation,Last Financing Deal Type 2 ,Majestic Referring Domains,Facebook Likes,Twitter Followers,Employees,Total Raised,days_since_offer,vc_invest,Twitter_Username
0,170123-59,"Provider of cyber-security analytics and intelligence intended to provide real time breach detection and automated remediation measures. The company offers cyber-security analytics and intelligence software powered by big data, predictive analytics, security domain and adversarial machine learning providing companies with real-time breach detection and with real-time alerts and notifications enabling companies to solve fraud and cyber security challenges effectively, efficiently and economically.",Zyudly Labs,94306,Network Management Software,Vivek Ganesan,2016.0,"500 Startups, Start Smart Labs","Palo Alto, CA",0.1180476972807811,0.4692784162201996,2017-02-08,0.15,2.5,,29.0,103.0,6.0,7.0,0.37,121,0,vivganes
5,123484-96,Developer of application controlled LED lights. The company develops LED lights that can be used by the user as per their need.,Zunn Labs,90025,Electronics (B2C),Jeremy Blum,2012.0,eLab Accelerator,"Los Angeles, CA",-0.021589426699952508,0.7556047625686536,2014-12-20,0.12,,,15.0,846.0,410.0,7.0,0.12,902,0,JeremyBlum_WFA
8,170046-01,The company is currently operating in Stealth mode.,Zuma 4 Productions,90265,Other Business Products and Services,Craig Fanning,2016.0,,"Malibu, CA",0.0,0.906016399070931,2017-01-26,0.1,,Angel,25.0,816.0,425.5,7.0,0.1,134,0,HappierTheBand
9,102923-56,Provider of a community-based grocery shopping application. The company offers an application which helps users to select the products from local stores to help local retailers grow their business and improve customer retention,Zulu,94085,Internet Retail,George Zhao,2012.0,,"Sunnyvale, CA",0.0,0.1343084241205096,2014-06-01,0.75,,,7.0,21.0,47.0,6.0,1.25,1104,0,hifriend89
19,123222-43,Developer of nano-scale therapeutics. The company develops liposomal chelator therapeutics and contract formulation of liposome drugs.,ZoneOne Pharma,94158,Therapeutic Devices,Peter Working,2011.0,"California Institute for Quantitative Biosciences, U.S. Department of Health and Human Services","San Francisco, CA",0.0,0.2702702702702703,2015-05-01,0.99,,,10.0,816.0,425.5,7.0,0.46499999999999997,770,0,pnowelldesign
31,115488-01,Developer of an infertility treatment device. The company develops a medical device used to treat infertility caused by polycystic ovary syndrome.,Ziva Medical,94618,Therapeutic Devices,Neil Barman,2013.0,"National Science Foundation, StartX","Oakland, CA",0.0,0.08291342189647274,2015-06-29,0.15,,,3.0,816.0,30.0,7.0,0.46499999999999997,711,0,neilbarman
34,171150-31,The company is currently operating in Stealth mode.,Zink (Stealth),90292,Other Business Products and Services,Emmet McDermott,2016.0,,"Marina del Rey, CA",0.0,0.906016399070931,2017-03-28,0.09,,Angel,25.0,816.0,425.5,7.0,0.09,73,0,efmcd
70,157750-48,Developer of an e-procurement platform. The company's platform enables users to control their procurement purchasing and processes with the help of geographic search engine and market intelligence system.,Yurpal,92651,Social/Platform Software,Jon De Langis,2016.0,,"Laguna Beach, CA",0.0,0.03389830508474576,2016-04-21,0.09,,Angel,25.0,816.0,13.0,7.0,0.09,414,0,yurpal
75,55422-82,"Opeartor of a social network for sports. The company's online platform connects users to sports news, people, places, products, organizations and teams.",YourSports,94401,Social/Platform Software,Christopher McCoy,2006.0,Individual Investor,"San Mateo, CA",0.4187871148918001,15.378241758971308,2015-10-28,2.0,,Angel,72.0,28647.0,7761.0,23.0,6.64,590,0,Kamakiriad66
81,170869-15,"Developer of a food application intended to discover, share and buy meals of choice. The company's food application is android and iOS based, enabling food lovers to stop dieting, discover and eat food of their choice which will be tasty as well healthy.",YouFood,94114,Application Software,Peter Simones,2013.0,NFX Guild,"San Francisco, CA",0.03373889344983573,1.2491798567701293,2015-09-18,0.12,,,72.0,406.0,95.0,7.0,0.12,630,0,PeterSimones
