,Company ID,Description,Company Name,HQ Post Code,Primary Industry Code,Primary Contact,Year Founded,Active Investors,HQ Location,Growth Rate,Size Multiple,Last Financing Date,Last Financing Size,Last Financing Deal Type 2 ,Majestic Referring Domains,Facebook Likes,Twitter Followers,Employees,Total Raised,VC_invested,Twitter_Username
6,62229-34,"Developer of animated, interactive learning material for college education. The company provides interactive online textbooks, as an alternative to conventional paper books. The books are designed for use by students of college STEM (science, technology, engineering and math) programs.",Zyante,95031,Publishing,Smita Bakshi,2012.0,"Bialla Venture Partners, National Science Foundation, TA Ventures, TEC Ventures","Los Gatos, CA",0.0789525067407773,0.7600677264273432,2016-02-10,4.0,Series A,83.0,612.0,267.0,32.0,4.0,1,sbaksh
8,117491-32,Provider of interactive fitness entertainment platform. The company is a cycling community built on gaming software that connects to indoor training. It has built software that from the comfort of user's own home or local gym allows to feel like they are riding alongside road.,Zwift,90802,Entertainment Software,Eric Min,2014.0,"COLOPL, Max Levchin, Novator Partners, Samchuly Bicycle Company, Shasta Ventures, Waypoint","Long Beach, CA",0.1439398282711237,73.10715596900194,2016-11-16,27.0,Series A,471.0,158746.0,24569.0,70.0,45.0,1,notEricMin
10,103593-34,"Developer of a mobile-based browsing application. The company's browsing application offers a social tool, enabling users to browse web with real-time voice and chat with their friends and also allows them to leave a sticky note on any item on any website that they can then comment on.",Zurf,94107,Social/Platform Software,Shahin Shadfar,2013.0,"Bobby Yazdani, Geekdom SF, Signatures Capital","San Francisco, CA",-0.08894167604666348,0.4797861130948824,,4.0,,25.0,166.0,127.0,6.0,6.6,1,sshadfar
14,148845-52,Provider of pizza services with help of robots. The company is engaged in production and door to door delivery of artisan pizzas for which it uses robots and machine intelligence.,Zume Pizza,94043,Food Products,Julia Collins,2015.0,"AME Cloud Ventures, Kortschak Investments, Maveron, SignalFire","Mountain View, CA",1.1711141846496187,3.1109121017006056,2016-12-07,22.69,,155.0,1986.0,562.0,18.0,22.69,1,JuliaRivka
16,104840-56,Provider of services in order to help startup companies to launch. The company provides services and technological support to help entities to build from ideation to launch independently.,Zuma Ventures,90401,Other Commercial Services,David Carter,2014.0,"Aaron Hirschhorn, Burns Israelsen, Derek Smith, EPIC Ventures, Ildar Fazulyanov, Jeff Danley, Jonathan Hung, Karl Israelsen, Kelly Perdew, Michael Liou, Rani Aliahmad, Richard Wolpert, Rick Barry, Vince Thompson","Santa Monica, CA",0.1312634040167244,0.5963347967401025,2014-08-28,0.1,,18.0,572.0,246.0,15.0,0.1,1,_davidcarter
30,51667-66,"Operator of an online social dating application designed to empower everyone to lead a more fulfilling love life. The company's social dating application offers mobile services and a downloadable desktop application through its website that provides online dating experience by utilizing its behavioral matchmaking algorithm and user's clicking activity, enabling individuals to find the person and relationship that is right for them.",Zoosk,94103,Social/Platform Software,Kelly Steckelberg,2007.0,"Amidzad Partners, ATA Ventures, Bessemer Venture Partners, Canaan Partners, Crosslink Capital, Crossroads Capital, Fábrica De Startups, Jeffery Epstein, Plug and Play Tech Center, Saeed Amidi","San Francisco, CA",0.39517093809580295,4439.119137244414,2015-05-04,100.0,,3863.0,13091919.0,454511.0,134.0,62.25,1,ksteckel
31,98515-45,"Provider of a communication platform. The company's platform helps organizations to gather rich media content and organize into trackable, online presentations and pages for sales, recruiting and learning and development purposes.",Zoomforth,94103,Communication Software,Christopher Murphy,2012.0,"500 Startups, 555 Capital, Bodley Group, Crosslink Capital, Indicator Fund, Robert Chang","San Francisco, CA",-0.030915719084500845,0.7011339268524235,2014-08-06,4.0,,16.0,147.0,621.0,6.0,1.43,1,christophroar
58,57224-17,"Developer of a mobile communication platform created to facilitate real-time sharing of information. The company's communication platform combines secure messaging, broadcasts, voice, video, file and location sharing tools in an integrated suite, enabling businesses to disseminate information to their deskless workforce and obtain real-time visibility in the field.",Zinc (Communications Technology),94105,Communication Software,Stacey Epstein,2013.0,"Charles River Ventures, Emergence Capital Partners, GE Ventures, Hearst Ventures","San Francisco, CA",7.5441795269893595,8.355486400180578,2017-04-17,11.0,Series A2,452.0,91.0,2394.0,41.0,31.5,1,staceyepstein
70,51252-67,"Provider of enterprise cloud storage solutions for enterprise information technology (IT) professionals. The company is compatible with existing on-premise storage systems and integrates with existing IT workflows. It delivers data availability, integrity, and security protections. Zetta's enterprise-class architecture guarantees availability and integrity even in the event of multiple complete node failure from any cause, whether network, power supply, memory, or disk failure. Enterprise customers include a variety of industries such as legal services, education, business services, financial services, media and entertainment, as well as software and technology.",Zetta,94089,Database Software,Chris Carney,2008.0,"Amidzad Partners, Bobby Yazdani, Foundation Capital, Industry Ventures, Jackson Square Ventures, Pejman Nozad, Plug and Play Tech Center, Sigma Partners, Signatures Capital","Sunnyvale, CA",0.025497771702973127,9.183538926335537,,4.0,,593.0,299.0,1488.0,41.0,42.42,1,chrisncarney
72,178328-98,"Provider of an ecological technology platform intended to transform green vegetal waste into pellets that can be burnt efficiently in boilers, replacing traditional fossil resources. The company's waste management technology platform aims to produce a green and clean source of energy where negligible waste material remains after the pellets are burnt enabling users with a raw material without any ecological side-effects and where rudimentary vegetal waste becomes a fuel.",ZETA Pellet,06600,Energy Production,Etienne Frank,2010.0,"Bpifrance, Starquest Capital","Antibes, France",0.0,1.054054054054054,2013-11-23,1.35,,39.0,867.0,807.5,10.0,1.35,1,etienne_sevin
75,57702-70,"Provider of an on-demand food ordering application. The company is the creator of a mobile-based application for ordering and purchasing entrees from a curated list of local restaurants, prepared as per demand and delivered via the restaurant's own takeaway service.",Zesty,94103,Application Software,Chris Hollindale,2012.0,"500 Startups, Andrew Bredon, Andrew McCollum, Arin Maercks, Christina Brodbeck, Chrys Bader, Darius Contractor, David Nemetz, Dilan Jayawardane, Fabrice Grinda, FJ Labs, Forerunner Ventures, Founders Fund, FundersClub, Great Oaks Venture Capital, Index Ventures (UK), Jared Friedman, Jeremy Yap, Jermaine O'Neal, Jonathan Swanson, Joshua Reeves, Jugoslav Petkovic, Kevin Mahaffey, Klaus von Sayn-Wittgenstein, Mark Scianna, Owen Van Natta, Passion Capital, Paul Buchheit, Sanford Dickert, Structure Fund, Sumon Sadhu, SV Angel, The International Conclave of Entrepreneurs, Walking Ventures, XG Ventures, Y Combinator, Zachary Auger, Zak Holdsworth","San Francisco, CA",2.761076787557476,6.069546865530653,2015-07-10,20.7,Series A,348.0,1953.0,750.0,94.0,20.7,1,chrishol
85,121487-32,"Provider of a data collection application designed to keep data up-to-date and to improve productivity. The company's data governance tool offers an online mobile software which makes data entry in Salesforce efficient, enabling users to log calls, create leads, scan business cards, collect information, manage tasks, calendar events, and more on the go, even offline, without typing.",Zero Keyboard,00170,Database Software,Jaan Apajalahti,2013.0,"Blackbox, Elina Piispanen, Fluido, Jari Mielonen, Jouko Virtanen, NewCo Helsinki Accelerator, Takeoff Partners, Tekes, Thomas Johanson","Helsinki, Finland",0.19311002928409707,0.6167735532142311,2015-09-18,0.6,,10.0,867.0,337.0,8.0,0.83,1,apajalahti
