Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Status,Number of Articles,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Total Funding Amount,Number of Investors,Last Funding Type,Website,Number of Funding Rounds
Washio,https://www.crunchbase.com/organization/washio,"Administrative Services, Clothing and Apparel","Los Angeles, California, United States","Wash.io is a wash and fold laundry service that picks up dirty laundry, cleans it, and delivers it back to its owners.","2,629",01/01/2013,Closed,99,"Delivery, Customer Service, Laundry and Dry-cleaning, Service Industry",3,11-50,06/09/2014,"$10,500,000","$16,820,000",25,Series A,http://www.getwashio.com,4
SKULLY,https://www.crunchbase.com/organization/skully-helmets,"Hardware, Consumer Electronics, Software, Government and Military, Transportation","San Francisco, California, United States",Augmented Reality Motorcycle Helmets,"4,446",02/27/2013,Closed,11,"Wearables, Public Safety, Augmented Reality, Automotive, Consumer Electronics",2,11-50,02/27/2015,"$11,000,000","$14,950,000",16,Series A,http://www.skully.com/,4
Envelop VR,https://www.crunchbase.com/organization/envelop-vr,"Hardware, Software","Bellevue, Washington, United States","Envelop VR builds software that enables people to create, work and play in virtual reality.","5,862",01/01/2014,Closed,26,"Virtual Reality, B2B, Enterprise Software",1,11-50,01/13/2016,"$5,500,000","$7,500,000",12,Series A,http://www.envelopvr.com,2
Shuddle,https://www.crunchbase.com/organization/shuddle,"Transportation, Internet Services","San Francisco, California, United States",We believe in living more and driving less.,"6,399",01/01/2014,Closed,37,"Service Industry, Transportation, Internet, Customer Service",2,11-50,03/18/2015,"$9,600,000","$12,200,000",7,Series A,https://shuddle.us/,2
Bridj,https://www.crunchbase.com/organization/bridj,"Data and Analytics, Software, Transportation","Cambridge, Massachusetts, United States",Bridj is the world's first smart transit system which uses big data and awesome shuttles.,"6,591",01/01/2014,Closed,21,"Big Data, Machine Learning, Transportation",2,11-50,03/01/2015,,"$4,000,000",8,Series A,http://www.bridj.com/,2
Carwoo,https://www.crunchbase.com/organization/carwoo,"Transportation, Internet Services","Burlingame, California, United States",Carwoo is an anonymous automobile marketplace that enables its users to purchase cars without providing personal information.,"7,234",10/01/2008,Closed,4,"Automotive, Internet",2,11-50,12/01/2011,"$6,000,000","$10,850,000",18,Series A,http://a9car.com/,4
Kitchit,https://www.crunchbase.com/organization/kichit,"Food and Beverage, Administrative Services","San Francisco, California, United States",Kitchit brings local chefs to private households to do the cooking.,"7,452",10/01/2011,Closed,23,"Housekeeping Service, Customer Service, Restaurants",2,11-50,12/09/2014,"$7,500,000","$8,100,000",21,Series A,http://www.kitchit.com,3
Nitrous,https://www.crunchbase.com/organization/nitrous-io,"Platforms, Software, Internet Services, Mobile","San Francisco, California, United States",Nitrous offers web applications development.,"7,589",07/01/2012,Closed,7,"Enterprise Software, PaaS, Software, iOS, Cloud Computing, Developer Tools, Web Development",2,11-50,03/18/2014,"$6,650,000","$7,650,000",12,Series A,http://www.nitrous.io,2
Loosecubes,https://www.crunchbase.com/organization/loosecubes,"Media and Entertainment, Sales and Marketing, Internet Services","Brooklyn, New York, United States",Loosecubes is a membership-based community that connects vacant workspaces with individuals looking for workspaces.,"7,974",01/01/2010,Closed,27,"Digital Media, Marketing, Social Media",2,1-10,06/05/2012,"$7,800,000","$9,030,000",8,Series A,http://loosecubes.com/home,2
Inform Technologies,https://www.crunchbase.com/organization/inform-technologies,"Media and Entertainment, Internet Services, Content and Publishing","New York, New York, United States","Inform Technologies develops apps that enable media companies to enhance content creation, curation, distribution and monetization.","8,282",08/01/2004,Closed,34,"Social, Publishing, Social News, Internet, Journalism, News",2,51-100,01/01/2013,,"$29,330,000",6,Series A,http://www.inform.com,6
