Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Status,Number of Articles,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Total Funding Amount,Number of Investors,Last Funding Type,Website,Number of Funding Rounds
NerdWallet,https://www.crunchbase.com/organization/nerdwallet,"Media and Entertainment, Internet Services, Financial Services","San Francisco, California, United States",Nerdwallet is your source of clarity for all of life's financial decisions.,26,01/01/2009,Operating,"1,274","Consumer, Personal Finance, Internet, Advice",2,251-500,10/21/2015,"$5,000,000","$105,000,000",15,Series A,http://www.nerdwallet.com,3
Niantic Inc.,https://www.crunchbase.com/organization/nianticlabs-google,"Gaming, Software, Internet Services","San Francisco, California, United States",Niantic Labs is a game developer that was spun out of Google.,175,03/01/2011,Operating,431,"Video Games, Internet, Software",,11-50,02/25/2016,"$5,000,000","$25,000,000",8,Series A,http://www.nianticlabs.com/,2
Upload VR,https://www.crunchbase.com/organization/upload-vr,"Hardware, Media and Entertainment, Software","San Francisco, California, United States",Upload is dedicated to accelerating the success of the virtual reality industry through inspiring community experiences.,199,01/01/2014,Operating,83,"Digital Entertainment, Media and Entertainment, Virtual Reality",2,11-50,05/16/2017,"$4,500,000","$5,750,000",14,Series A,http://upload.io,2
Remix,https://www.crunchbase.com/organization/remix,"Information Technology, Government and Military, Transportation","San Francisco, California, United States",Remix is a planning platform for public transit.,273,10/31/2014,Operating,26,"GovTech, Public Transportation, Transportation, Information Technology",5,11-50,05/09/2017,"$10,000,000","$12,000,000",13,Series A,https://www.remix.com/,2
ZipRecruiter,https://www.crunchbase.com/organization/ziprecruiter,"Apps, Software, Professional Services, Mobile","Santa Monica, California, United States","ZipRecruiter is an online employment marketplace, connecting millions of employers and job seekers through mobile and email services.",280,03/01/2010,Operating,109,"Employment, Recruiting, Mobile Apps",4,501-1000,08/26/2014,"$63,000,000","$63,000,000",5,Series A,http://www.ziprecruiter.com,1
Crew,https://www.crunchbase.com/organization/crew-3,"Information Technology, Software, Internet Services, Messaging and Telecommunications","San Francisco, California, United States","Crew is a free service that simplifies team communications at work with messaging, schedules, and tasks in one centralized place.",340,01/01/2015,Operating,1,"Scheduling, Productivity Tools, Collaboration, Messaging, Task Management",2,,05/04/2017,"$8,000,000","$24,900,000",4,Series A,https://crewapp.com/,3
BitPay,https://www.crunchbase.com/organization/bitpay,"Software, Payments, Financial Services","Atlanta, Georgia, United States","BitPay is a payment processor for the peer-to-peer digital currency, Bitcoin.",487,05/01/2011,Operating,560,"Bitcoin, Finance, Payments, Peer to Peer",3,51-100,05/13/2014,"$30,000,000","$32,510,000",21,Series A,http://bitpay.com,3
Abundant Robotics,https://www.crunchbase.com/organization/abundant-robotics,"Agriculture and Farming, Science and Engineering, Hardware, Food and Beverage, Software","Hayward, California, United States",Solving important and large problems in Agriculture.,493,01/01/2016,Operating,5,"AgTech, Food and Beverage, Robotics, Agriculture",3,,05/04/2017,"$10,000,000","$12,000,000",7,Series A,http://www.abundantrobotics.com/,2
RedLock,https://www.crunchbase.com/organization/redlock,"Information Technology, Software, Privacy and Security","Menlo Park, California, United States",Redlock provides deep security visibility and anomaly detection for dynamic environments.,509,01/01/2015,Operating,1,"Cyber Security, Software, Network Security",2,11-50,05/09/2017,"$12,000,000","$12,000,000",6,Series A,https://redlock.io/,2
goPuff,https://www.crunchbase.com/organization/gopuff,"Commerce and Shopping, Software, Administrative Services, Transportation, Mobile","Philadelphia, Pennsylvania, United States","On-demand convenience store delivery service bringing you what you need, when you need it.",544,04/30/2013,Operating,138,"Mobile, E-Commerce, Logistics, Delivery, Retail, Software",2,51-100,05/27/2016,"$5,000,000","$8,250,000",1,Series A,http://www.gopuff.com,2
Brigade,https://www.crunchbase.com/organization/brigade,"Media and Entertainment, Government and Military, Internet Services","San Francisco, California, United States","Brigade wants to make civic engagement easy, effective, and enjoyable — and in so doing, restore political power back to the people.",611,04/14/2014,Operating,84,"Politics, Social Media, Internet",5,11-50,08/06/2014,"$9,000,000","$9,000,000",2,Series A,http://www.brigade.com,1
OpenSignal,https://www.crunchbase.com/organization/opensignalmaps,"Hardware, Mobile","Laguna Hills, California, United States",OpenSignal provides a mobile application that crowd-sources data on the performance and coverage of wireless networks around the world.,621,01/01/2010,Operating,330,"Mobile, Wireless",4,11-50,08/05/2014,"$4,000,000","$5,300,000",4,Series A,http://opensignal.com,2
Campaign Monitor,https://www.crunchbase.com/organization/campaign-monitor,"Software, Sales and Marketing, Design","San Francisco, California, United States",Campaign offers a solution that allows websites to attract new subscribers by sending them visually rich email newsletters and reports.,629,01/01/2004,Operating,179,"Email Marketing, Product Design, Software",2,101-250,04/16/2014,"$250,000,000","$250,000,000",3,Series A,http://www.campaignmonitor.com,1
Trove,https://www.crunchbase.com/organization/trove-technologies-inc,Real Estate,"San Francisco, California, United States","Trove is a high-quality, affordable, full-service storage experience.",630,01/01/2016,Operating,3,"Self-Storage, Service Industry, Customer Service",2,11-50,05/23/2017,"$8,000,000","$8,000,000",1,Series A,https://www.mytrove.com/,1
Imgur,https://www.crunchbase.com/organization/imgur,"Media and Entertainment, Internet Services","San Francisco, California, United States",Imgur allows users to share and enjoy images on the internet.,700,02/01/2009,Operating,699,"Digital Entertainment, Internet, Social Media",1,51-100,04/03/2014,"$40,000,000","$40,000,000",4,Series A,http://www.imgur.com,1
Shedul.com,https://www.crunchbase.com/organization/shedul,"Information Technology, Software, Consumer Goods","Newark, Delaware, United States","Shedul.com is a software platform for beauty and wellness industry used by 40,000+ merchants in more than 120 countries.",766,01/01/2015,Operating,3,"SaaS, Beauty, Small and Medium Businesses, Scheduling",2,11-50,06/08/2017,"$6,000,000","$6,600,000",4,Series A,https://www.shedul.com,3
The Farmer's Dog,https://www.crunchbase.com/organization/the-farmer-s-dog,Commerce and Shopping,"New York, New York, United States","The Farmer's Dog makes balanced and freshly made pet food, personalized for your dog and delivered to your door.",794,01/01/2014,Operating,5,"E-Commerce, Personalization, Subscription Service",2,1-10,05/18/2017,"$8,100,000","$10,100,000",7,Series A,https://thefarmersdog.com,2
Stem Disintermedia,https://www.crunchbase.com/organization/stemdisintermedia,"Media and Entertainment, Music and Audio, Professional Services, Video, Financial Services","Los Angeles, California, United States","Stem Disintermedia helps creators, artists, and musicians to collect digital revenue and enables them to track and share their earnings.",802,02/13/2015,Operating,7,"Video, Accounting, Music",3,11-50,06/07/2017,"$8,000,000","$12,500,000",26,Series A,http://stem.is,2
Latch,https://www.crunchbase.com/organization/latch,"Apps, Hardware, Software, Privacy and Security","New York, New York, United States",Latch makes access easier for everyone at a modern building.,828,01/01/2014,Operating,6,"Hardware, Software, Security, Apps",3,11-50,05/10/2017,"$10,000,000","$26,000,000",15,Series A,http://www.Latch.com,3
Arcadia Power,https://www.crunchbase.com/organization/arcadia-power-2,"Natural Resources, Energy, Sustainability, Internet Services","Washington, District of Columbia, United States","Arcadia Power provides renewable energy for houses, apartments, and businesses in the United States.",831,01/01/2014,Operating,10,"Clean Energy, Internet, Solar, Energy",2,11-50,06/01/2017,"$6,000,000","$10,000,000",9,Series A,http://www.arcadiapower.com,3
import.io,https://www.crunchbase.com/organization/importio,"Information Technology, Data and Analytics, Software","Los Gatos, California, United States",Get structured data from the web,832,06/21/2012,Operating,26,"Software, Big Data, Information Technology",2,11-50,01/12/2016,"$13,000,000","$18,209,693",16,Series A,https://import.io,4
