,Company Name,Website,Number of Employees
0,BitInstant,http://www.bitinstant.com,11-50
1,Postcard on the Run,http://www.postcardontherun.com,1-10
2,The Happy Home Company,http://www.thehappyhome.co,1-10
3,Balanced,http://www.balancedpayments.com,11-50
4,North Technologies,http://www.n-o-r-t-h-t-e-c-h-n-o-l-o-g-i-e-s.com/,1-10
5,Din,https://www.din.co/,11-50
6,Ridejoy,http://ridejoy.com,11-50
7,WrkRiot,http://wrkriot.com,11-50
8,Beautified,http://www.getbeautified.com,11-50
9,Planwise,http://www.planwise.com,1-10
10,Weave,http://weave.in,1-10
11,Tradehill,http://www.tradehill.com,11-50
12,InstallMonetizer,http://www.InstallMonetizer.com,11-50
13,Last Guide,http://last.co,1-10
14,STAND Technologies,http://www.stand.tc,11-50
15,Loku,http://www.loku.com,1-10
16,Spotster,http://spotster.com,1-10
17,Kohort,http://www.kohort.com,11-50
18,Frontback,http://frontback.me,
19,Egomotion,http://www.trystatus.com,1-10
20,Mitoo Sports,http://mitoo.co,1-10
21,LikeIt.com,http://likeit.com,1-10
22,Fetch,http://www.buywithfetch.com,11-50
23,Bondsy,http://bondsy.com,1-10
24,Jetbay,http://jetbay.com,11-50
25,The Runthrough,http://www.therunthrough.com,11-50
26,just.me Inc,http://just.me,1-10
27,Ziptask,http://www.ziptask.com,11-50
28,TrustEgg,http://www.trustegg.com,1-10
29,Buttercoin,http://buttercoin.com,1-10
30,Blab,http://blab.im,11-50
31,Everpix,http://www.everpix.com,51-100
32,Sunglass,http://www.sunglass.io,11-50
33,Boomerang,http://rang.com,1-10
34,Hukkster,http://www.hukkster.com,11-50
35,Haven,http://www.joinhaven.com,1-10
36,Quiet,http://www.quiet.ch,
37,Done.,http://done.com,11-50
38,SoMoLend,http://www.somolend.com,11-50
39,Scoot & Doodle,http://scootdoodle.com,1-10
40,PayDragon,http://paydragon.com,1-10
41,Flowgram,http://www.flowgram.com,11-50
42,Sqwiggle,http://www.sqwiggle.com,1-10
43,PoachIt,http://www.poachit.com,1-10
44,DwellAware,https://DwellAware.com,1-10
45,Sumpto,http://www.sumpto.com,1-10
46,TenderTree,http://www.tendertree.com,1-10
47,Fabricly,http://www.fabricly.com,1-10
48,WUT,http://wutwut.com,1-10
49,Test,http://test.com,11-50
50,SchoolFeed,http://your.schoolfeed.com,1-10
51,Visidraft,http://www.visidraft.com,1-10
52,Sensilk,http://www.sensilk.com,1-10
53,Citybot,http://citybot.com,1-10
54,GreenGoose!,http://greengoose.com,11-50
55,AutoRef.com,http://autoref.com,1-10
56,Guide,http://gui.de,11-50
57,Wire,http://wire.im,51-100
58,Serica,http://www.sericatrading.com,1-10
59,Material Mix,http://www.materialmix.com,1-10
60,CityFunders,http://www.cityfunders.com,1-10
61,Ordrx,http://www.ordrx.com,1-10
62,CrowdMob,http://www.crowdmob.com,1-10
63,Guestmob,http://www.guestmob.com,1-10
64,Inporia,http://inporia.com,11-50
65,Switchcam,http://switchcam.com,11-50
66,Locish,http://www.locish.com,1-10
67,"Mind Pirate, Inc.",http://mindpirate.com,11-50
68,Tylr Mobile,http://www.tylrmobile.com,1-10
69,vChatter,http://www.vchatter.com,1-10
70,Uguru.me,http://uguru.me,11-50
71,Udorse,http://www.udorse.com,1-10
72,Shortlist,http://getshortlist.com,1-10
73,Gliph,https://gli.ph,11-50
74,SocialBuy,http://www.socialbuy.com,11-50
75,Kluster,http://kluster.com,
76,Wiper,http://gowiper.com,11-50
77,Rivet & Sway,http://www.rivetandsway.com,11-50
78,CakeStyle,http://www.cakestyle.com,11-50
79,Juice In The City,http://juiceinthecity.com,11-50
80,CityPockets,http://www.CityPockets.com,1-10
81,Complex Polygon,http://complexpolygon.com/,1-10
82,SlidePay,http://www.slidepay.com,1-10
